Hour,Date,P(kWh),h_max
00,2022-03-01,0,199764.0
01,2022-03-01,0,199764.0
02,2022-03-01,0,199764.0
03,2022-03-01,0,199764.0
04,2022-03-01,0,199764.0
05,2022-03-01,0,199764.0
06,2022-03-01,0,199764.0
07,2022-03-01,2,199766.0
08,2022-03-01,2,199768.0
09,2022-03-01,13,199781.0
10,2022-03-01,27,199808.0
11,2022-03-01,44,199852.0
12,2022-03-01,74,199926.0
13,2022-03-01,59,199985.0
14,2022-03-01,61,200046.0
15,2022-03-01,46,200092.0
16,2022-03-01,17,200109.0
17,2022-03-01,6,200115.0
18,2022-03-01,1,200116.0
19,2022-03-01,0,200116.0
20,2022-03-01,0,200116.0
21,2022-03-01,0,200116.0
22,2022-03-01,0,200116.0
23,2022-03-01,0,200116.0
Hour,Date,P(kWh),h_max
00,2022-03-02,0,200116.0
01,2022-03-02,0,200116.0
02,2022-03-02,0,200116.0
03,2022-03-02,0,200116.0
04,2022-03-02,0,200116.0
05,2022-03-02,0,200116.0
06,2022-03-02,0,200116.0
07,2022-03-02,2,200118.0
08,2022-03-02,12,200130.0
09,2022-03-02,53,200183.0
10,2022-03-02,75,200258.0
11,2022-03-02,84,200342.0
12,2022-03-02,91,200433.0
13,2022-03-02,85,200518.0
14,2022-03-02,74,200592.0
15,2022-03-02,58,200650.0
16,2022-03-02,37,200687.0
17,2022-03-02,11,200698.0
18,2022-03-02,0,200698.0
19,2022-03-02,0,200698.0
20,2022-03-02,0,200698.0
21,2022-03-02,0,200698.0
22,2022-03-02,0,200698.0
23,2022-03-02,0,200698.0
Hour,Date,P(kWh),h_max
00,2022-03-03,0,200698.0
01,2022-03-03,0,200698.0
02,2022-03-03,0,200698.0
03,2022-03-03,0,200698.0
04,2022-03-03,0,200698.0
05,2022-03-03,0,200698.0
06,2022-03-03,0,200698.0
07,2022-03-03,3,200701.0
08,2022-03-03,10,200711.0
09,2022-03-03,52,200763.0
10,2022-03-03,72,200835.0
11,2022-03-03,84,200919.0
12,2022-03-03,87,201006.0
13,2022-03-03,83,201089.0
14,2022-03-03,71,201160.0
15,2022-03-03,54,201214.0
16,2022-03-03,33,201247.0
17,2022-03-03,10,201257.0
18,2022-03-03,0,201257.0
19,2022-03-03,0,201257.0
20,2022-03-03,0,201257.0
21,2022-03-03,0,201257.0
22,2022-03-03,0,201257.0
23,2022-03-03,0,201257.0
Hour,Date,P(kWh),h_max
00,2022-03-04,0,201257.0
01,2022-03-04,0,201257.0
02,2022-03-04,0,201257.0
03,2022-03-04,0,201257.0
04,2022-03-04,0,201257.0
05,2022-03-04,0,201257.0
06,2022-03-04,1,201258.0
07,2022-03-04,5,201263.0
08,2022-03-04,16,201279.0
09,2022-03-04,31,201310.0
10,2022-03-04,47,201357.0
11,2022-03-04,50,201407.0
12,2022-03-04,73,201480.0
13,2022-03-04,76,201556.0
14,2022-03-04,65,201621.0
15,2022-03-04,45,201666.0
16,2022-03-04,25,201691.0
17,2022-03-04,7,201698.0
18,2022-03-04,1,201699.0
19,2022-03-04,0,201699.0
20,2022-03-04,0,201699.0
21,2022-03-04,0,201699.0
22,2022-03-04,0,201699.0
23,2022-03-04,0,201699.0
Hour,Date,P(kWh),h_max
00,2022-03-05,0,201699.0
01,2022-03-05,0,201699.0
02,2022-03-05,0,201699.0
03,2022-03-05,0,201699.0
04,2022-03-05,0,201699.0
05,2022-03-05,0,201699.0
06,2022-03-05,0,201699.0
07,2022-03-05,4,201703.0
08,2022-03-05,12,201715.0
09,2022-03-05,54,201769.0
10,2022-03-05,76,201845.0
11,2022-03-05,87,201932.0
12,2022-03-05,91,202023.0
13,2022-03-05,87,202110.0
14,2022-03-05,77,202187.0
15,2022-03-05,60,202247.0
16,2022-03-05,37,202284.0
17,2022-03-05,11,202295.0
18,2022-03-05,0,202295.0
19,2022-03-05,0,202295.0
20,2022-03-05,0,202295.0
21,2022-03-05,0,202295.0
22,2022-03-05,0,202295.0
23,2022-03-05,0,202295.0
Hour,Date,P(kWh),h_max
00,2022-03-06,0,202295.0
01,2022-03-06,0,202295.0
02,2022-03-06,0,202295.0
03,2022-03-06,0,202295.0
04,2022-03-06,0,202295.0
05,2022-03-06,0,202295.0
06,2022-03-06,0,202295.0
07,2022-03-06,4,202299.0
08,2022-03-06,14,202313.0
09,2022-03-06,58,202371.0
10,2022-03-06,79,202450.0
11,2022-03-06,91,202541.0
12,2022-03-06,94,202635.0
13,2022-03-06,90,202725.0
14,2022-03-06,78,202803.0
15,2022-03-06,60,202863.0
16,2022-03-06,37,202900.0
17,2022-03-06,11,202911.0
18,2022-03-06,0,202911.0
19,2022-03-06,0,202911.0
20,2022-03-06,0,202911.0
21,2022-03-06,0,202911.0
22,2022-03-06,0,202911.0
23,2022-03-06,0,202911.0
Hour,Date,P(kWh),h_max
00,2022-03-07,0,202911.0
01,2022-03-07,0,202911.0
02,2022-03-07,0,202911.0
03,2022-03-07,0,202911.0
04,2022-03-07,0,202911.0
05,2022-03-07,0,202911.0
06,2022-03-07,0,202911.0
07,2022-03-07,7,202918.0
08,2022-03-07,18,202936.0
09,2022-03-07,46,202982.0
10,2022-03-07,63,203045.0
11,2022-03-07,77,203122.0
12,2022-03-07,73,203195.0
13,2022-03-07,71,203266.0
14,2022-03-07,60,203326.0
15,2022-03-07,49,203375.0
16,2022-03-07,30,203405.0
17,2022-03-07,8,203413.0
18,2022-03-07,1,203414.0
19,2022-03-07,0,203414.0
20,2022-03-07,0,203414.0
21,2022-03-07,0,203414.0
22,2022-03-07,0,203414.0
23,2022-03-07,0,203414.0
Hour,Date,P(kWh),h_max
00,2022-03-08,0,203414.0
01,2022-03-08,0,203414.0
02,2022-03-08,0,203414.0
03,2022-03-08,0,203414.0
04,2022-03-08,0,203414.0
05,2022-03-08,0,203414.0
06,2022-03-08,0,203414.0
07,2022-03-08,5,203419.0
08,2022-03-08,15,203434.0
09,2022-03-08,51,203485.0
10,2022-03-08,70,203555.0
11,2022-03-08,81,203636.0
12,2022-03-08,83,203719.0
13,2022-03-08,78,203797.0
14,2022-03-08,70,203867.0
15,2022-03-08,51,203918.0
16,2022-03-08,31,203949.0
17,2022-03-08,10,203959.0
18,2022-03-08,0,203959.0
19,2022-03-08,0,203959.0
20,2022-03-08,0,203959.0
21,2022-03-08,0,203959.0
22,2022-03-08,0,203959.0
23,2022-03-08,0,203959.0
Hour,Date,P(kWh),h_max
00,2022-03-09,0,203959.0
01,2022-03-09,0,203959.0
02,2022-03-09,0,203959.0
03,2022-03-09,0,203959.0
04,2022-03-09,0,203959.0
05,2022-03-09,0,203959.0
06,2022-03-09,0,203959.0
07,2022-03-09,5,203964.0
08,2022-03-09,17,203981.0
09,2022-03-09,49,204030.0
10,2022-03-09,67,204097.0
11,2022-03-09,77,204174.0
12,2022-03-09,78,204252.0
13,2022-03-09,74,204326.0
14,2022-03-09,64,204390.0
15,2022-03-09,47,204437.0
16,2022-03-09,28,204465.0
17,2022-03-09,9,204474.0
18,2022-03-09,1,204475.0
19,2022-03-09,0,204475.0
20,2022-03-09,0,204475.0
21,2022-03-09,0,204475.0
22,2022-03-09,0,204475.0
23,2022-03-09,0,204475.0
Hour,Date,P(kWh),h_max
00,2022-03-10,0,204475.0
01,2022-03-10,0,204475.0
02,2022-03-10,0,204475.0
03,2022-03-10,0,204475.0
04,2022-03-10,0,204475.0
05,2022-03-10,0,204475.0
06,2022-03-10,0,204475.0
07,2022-03-10,7,204482.0
08,2022-03-10,15,204497.0
09,2022-03-10,38,204535.0
10,2022-03-10,60,204595.0
11,2022-03-10,62,204657.0
12,2022-03-10,56,204713.0
13,2022-03-10,55,204768.0
14,2022-03-10,57,204825.0
15,2022-03-10,32,204857.0
16,2022-03-10,20,204877.0
17,2022-03-10,7,204884.0
18,2022-03-10,1,204885.0
19,2022-03-10,0,204885.0
20,2022-03-10,0,204885.0
21,2022-03-10,0,204885.0
22,2022-03-10,0,204885.0
23,2022-03-10,0,204885.0
Hour,Date,P(kWh),h_max
00,2022-03-11,0,204885.0
01,2022-03-11,0,204885.0
02,2022-03-11,0,204885.0
03,2022-03-11,0,204885.0
04,2022-03-11,0,204885.0
05,2022-03-11,0,204885.0
06,2022-03-11,0,204885.0
07,2022-03-11,5,204890.0
08,2022-03-11,17,204907.0
09,2022-03-11,43,204950.0
10,2022-03-11,61,205011.0
11,2022-03-11,77,205088.0
12,2022-03-11,73,205161.0
13,2022-03-11,38,205199.0
14,2022-03-11,27,205226.0
15,2022-03-11,33,205259.0
16,2022-03-11,27,205286.0
17,2022-03-11,9,205295.0
18,2022-03-11,0,205295.0
19,2022-03-11,0,205295.0
20,2022-03-11,0,205295.0
21,2022-03-11,0,205295.0
22,2022-03-11,0,205295.0
23,2022-03-11,0,205295.0
Hour,Date,P(kWh),h_max
00,2022-03-12,0,205295.0
01,2022-03-12,0,205295.0
