Hour,Date,P(kWh),h_max
00,2022-04-01,0,212315.0
01,2022-04-01,0,212315.0
02,2022-04-01,0,212315.0
03,2022-04-01,0,212315.0
04,2022-04-01,0,212315.0
05,2022-04-01,0,212315.0
06,2022-04-01,2,212317.0
07,2022-04-01,7,212324.0
08,2022-04-01,37,212361.0
09,2022-04-01,28,212389.0
10,2022-04-01,56,212445.0
11,2022-04-01,77,212522.0
12,2022-04-01,63,212585.0
13,2022-04-01,62,212647.0
14,2022-04-01,64,212711.0
15,2022-04-01,40,212751.0
16,2022-04-01,33,212784.0
17,2022-04-01,14,212798.0
18,2022-04-01,3,212801.0
19,2022-04-01,0,212801.0
20,2022-04-01,0,212801.0
21,2022-04-01,0,212801.0
22,2022-04-01,0,212801.0
23,2022-04-01,0,212801.0
Hour,Date,P(kWh),h_max
00,2022-04-02,0,212801.0
01,2022-04-02,0,212801.0
02,2022-04-02,0,212801.0
03,2022-04-02,0,212801.0
04,2022-04-02,0,212801.0
05,2022-04-02,0,212801.0
06,2022-04-02,2,212803.0
07,2022-04-02,10,212813.0
08,2022-04-02,42,212855.0
09,2022-04-02,65,212920.0
10,2022-04-02,81,213001.0
11,2022-04-02,91,213092.0
12,2022-04-02,93,213185.0
13,2022-04-02,86,213271.0
14,2022-04-02,76,213347.0
15,2022-04-02,58,213405.0
16,2022-04-02,36,213441.0
17,2022-04-02,14,213455.0
18,2022-04-02,2,213457.0
19,2022-04-02,0,213457.0
20,2022-04-02,0,213457.0
21,2022-04-02,0,213457.0
22,2022-04-02,0,213457.0
23,2022-04-02,0,213457.0
Hour,Date,P(kWh),h_max
00,2022-04-03,0,213457.0
01,2022-04-03,0,213457.0
02,2022-04-03,0,213457.0
03,2022-04-03,0,213457.0
04,2022-04-03,0,213457.0
05,2022-04-03,0,213457.0
06,2022-04-03,2,213459.0
07,2022-04-03,11,213470.0
08,2022-04-03,42,213512.0
09,2022-04-03,65,213577.0
10,2022-04-03,81,213658.0
11,2022-04-03,88,213746.0
12,2022-04-03,90,213836.0
13,2022-04-03,85,213921.0
14,2022-04-03,74,213995.0
15,2022-04-03,59,214054.0
16,2022-04-03,39,214093.0
17,2022-04-03,15,214108.0
18,2022-04-03,2,214110.0
19,2022-04-03,0,214110.0
20,2022-04-03,0,214110.0
21,2022-04-03,0,214110.0
22,2022-04-03,0,214110.0
23,2022-04-03,0,214110.0
Hour,Date,P(kWh),h_max
00,2022-04-04,0,214110.0
01,2022-04-04,0,214110.0
02,2022-04-04,0,214110.0
03,2022-04-04,0,214110.0
04,2022-04-04,0,214110.0
05,2022-04-04,0,214110.0
06,2022-04-04,2,214112.0
07,2022-04-04,12,214124.0
08,2022-04-04,43,214167.0
09,2022-04-04,66,214233.0
10,2022-04-04,82,214315.0
11,2022-04-04,89,214404.0
12,2022-04-04,90,214494.0
13,2022-04-04,84,214578.0
14,2022-04-04,74,214652.0
15,2022-04-04,56,214708.0
16,2022-04-04,38,214746.0
17,2022-04-04,14,214760.0
18,2022-04-04,2,214762.0
19,2022-04-04,0,214762.0
20,2022-04-04,0,214762.0
21,2022-04-04,0,214762.0
22,2022-04-04,0,214762.0
23,2022-04-04,0,214762.0
Hour,Date,P(kWh),h_max
00,2022-04-05,0,214762.0
01,2022-04-05,0,214762.0
02,2022-04-05,0,214762.0
03,2022-04-05,0,214762.0
04,2022-04-05,0,214762.0
05,2022-04-05,0,214762.0
06,2022-04-05,3,214765.0
07,2022-04-05,14,214779.0
08,2022-04-05,38,214817.0
09,2022-04-05,50,214867.0
10,2022-04-05,58,214925.0
11,2022-04-05,63,214988.0
12,2022-04-05,72,215060.0
13,2022-04-05,73,215133.0
14,2022-04-05,71,215204.0
15,2022-04-05,50,215254.0
16,2022-04-05,35,215289.0
17,2022-04-05,13,215302.0
