Hour,Date,P(kWh),h_max
00,2022-06-01,0,246333.0
01,2022-06-01,0,246333.0
02,2022-06-01,0,246333.0
03,2022-06-01,0,246333.0
04,2022-06-01,0,246333.0
05,2022-06-01,0,246333.0
06,2022-06-01,8,246341.0
07,2022-06-01,15,246356.0
08,2022-06-01,36,246392.0
09,2022-06-01,44,246436.0
10,2022-06-01,70,246506.0
11,2022-06-01,74,246580.0
12,2022-06-01,77,246657.0
13,2022-06-01,72,246729.0
14,2022-06-01,62,246791.0
15,2022-06-01,50,246841.0
16,2022-06-01,33,246874.0
17,2022-06-01,16,246890.0
18,2022-06-01,5,246895.0
19,2022-06-01,1,246896.0
20,2022-06-01,0,246896.0
21,2022-06-01,0,246896.0
22,2022-06-01,0,246896.0
23,2022-06-01,0,246896.0
Hour,Date,P(kWh),h_max
00,2022-06-02,0,246896.0
01,2022-06-02,0,246896.0
02,2022-06-02,0,246896.0
03,2022-06-02,0,246896.0
04,2022-06-02,0,246896.0
05,2022-06-02,1,246897.0
06,2022-06-02,9,246906.0
07,2022-06-02,27,246933.0
08,2022-06-02,47,246980.0
09,2022-06-02,64,247044.0
10,2022-06-02,75,247119.0
11,2022-06-02,79,247198.0
12,2022-06-02,81,247279.0
13,2022-06-02,76,247355.0
14,2022-06-02,66,247421.0
15,2022-06-02,52,247473.0
16,2022-06-02,35,247508.0
17,2022-06-02,16,247524.0
18,2022-06-02,5,247529.0
19,2022-06-02,0,247529.0
20,2022-06-02,0,247529.0
21,2022-06-02,0,247529.0
22,2022-06-02,0,247529.0
23,2022-06-02,0,247529.0
Hour,Date,P(kWh),h_max
00,2022-06-03,0,247529.0
01,2022-06-03,0,247529.0
02,2022-06-03,0,247529.0
03,2022-06-03,0,247529.0
04,2022-06-03,0,247529.0
05,2022-06-03,2,247531.0
06,2022-06-03,9,247540.0
07,2022-06-03,25,247565.0
08,2022-06-03,45,247610.0
09,2022-06-03,62,247672.0
10,2022-06-03,74,247746.0
11,2022-06-03,79,247825.0
12,2022-06-03,79,247904.0
13,2022-06-03,75,247979.0
14,2022-06-03,67,248046.0
15,2022-06-03,52,248098.0
16,2022-06-03,33,248131.0
17,2022-06-03,17,248148.0
18,2022-06-03,7,248155.0
19,2022-06-03,0,248155.0
20,2022-06-03,0,248155.0
21,2022-06-03,0,248155.0
22,2022-06-03,0,248155.0
23,2022-06-03,0,248155.0
Hour,Date,P(kWh),h_max
00,2022-06-04,0,248155.0
01,2022-06-04,0,248155.0
02,2022-06-04,0,248155.0
03,2022-06-04,0,248155.0
04,2022-06-04,0,248155.0
05,2022-06-04,1,248156.0
06,2022-06-04,7,248163.0
07,2022-06-04,19,248182.0
08,2022-06-04,35,248217.0
09,2022-06-04,56,248273.0
10,2022-06-04,70,248343.0
11,2022-06-04,71,248414.0
12,2022-06-04,66,248480.0
13,2022-06-04,55,248535.0
14,2022-06-04,49,248584.0
15,2022-06-04,37,248621.0
16,2022-06-04,25,248646.0
17,2022-06-04,10,248656.0
18,2022-06-04,6,248662.0
19,2022-06-04,0,248662.0
20,2022-06-04,0,248662.0
21,2022-06-04,0,248662.0
22,2022-06-04,0,248662.0
23,2022-06-04,0,248662.0
Hour,Date,P(kWh),h_max
00,2022-06-05,0,248662.0
01,2022-06-05,0,248662.0
02,2022-06-05,0,248662.0
03,2022-06-05,0,248662.0
04,2022-06-05,0,248662.0
05,2022-06-05,0,248662.0
06,2022-06-05,3,248665.0
07,2022-06-05,6,248671.0
08,2022-06-05,13,248684.0
09,2022-06-05,21,248705.0
10,2022-06-05,20,248725.0
11,2022-06-05,14,248739.0
12,2022-06-05,18,248757.0
13,2022-06-05,16,248773.0
14,2022-06-05,9,248782.0
15,2022-06-05,11,248793.0
16,2022-06-05,4,248797.0
17,2022-06-05,3,248800.0
18,2022-06-05,1,248801.0
19,2022-06-05,0,248801.0
20,2022-06-05,0,248801.0
21,2022-06-05,0,248801.0
22,2022-06-05,0,248801.0
