Hour,Date,P(kWh),h_max
00,2021-09-01,0,134266.0
01,2021-09-01,0,134266.0
02,2021-09-01,0,134266.0
03,2021-09-01,0,134266.0
04,2021-09-01,0,134266.0
05,2021-09-01,0,134266.0
06,2021-09-01,0,134266.0
07,2021-09-01,1,134267.0
08,2021-09-01,1,134268.0
09,2021-09-01,5,134273.0
10,2021-09-01,18,134291.0
11,2021-09-01,14,134305.0
12,2021-09-01,9,134314.0
13,2021-09-01,33,134347.0
14,2021-09-01,13,134360.0
15,2021-09-01,7,134367.0
16,2021-09-01,1,134368.0
17,2021-09-01,0,134368.0
18,2021-09-01,0,134368.0
19,2021-09-01,0,134368.0
20,2021-09-01,0,134368.0
21,2021-09-01,0,134368.0
22,2021-09-01,0,134368.0
23,2021-09-01,0,134368.0
Hour,Date,P(kWh),h_max
00,2021-09-02,0,134368.0
01,2021-09-02,0,134368.0
02,2021-09-02,0,134368.0
03,2021-09-02,0,134368.0
04,2021-09-02,0,134368.0
05,2021-09-02,0,134368.0
06,2021-09-02,2,134370.0
07,2021-09-02,9,134379.0
08,2021-09-02,13,134392.0
09,2021-09-02,28,134420.0
10,2021-09-02,25,134445.0
11,2021-09-02,32,134477.0
12,2021-09-02,26,134503.0
13,2021-09-02,31,134534.0
14,2021-09-02,15,134549.0
15,2021-09-02,13,134562.0
16,2021-09-02,7,134569.0
17,2021-09-02,1,134570.0
18,2021-09-02,0,134570.0
19,2021-09-02,0,134570.0
20,2021-09-02,0,134570.0
21,2021-09-02,0,134570.0
22,2021-09-02,0,134570.0
23,2021-09-02,0,134570.0
Hour,Date,P(kWh),h_max
00,2021-09-03,0,134570.0
01,2021-09-03,0,134570.0
02,2021-09-03,0,134570.0
03,2021-09-03,0,134570.0
04,2021-09-03,0,134570.0
05,2021-09-03,0,134570.0
06,2021-09-03,1,134571.0
07,2021-09-03,4,134575.0
08,2021-09-03,8,134583.0
09,2021-09-03,18,134601.0
10,2021-09-03,23,134624.0
11,2021-09-03,11,134635.0
12,2021-09-03,12,134647.0
13,2021-09-03,17,134664.0
14,2021-09-03,18,134682.0
15,2021-09-03,16,134698.0
16,2021-09-03,8,134706.0
17,2021-09-03,5,134711.0
18,2021-09-03,1,134712.0
19,2021-09-03,0,134712.0
20,2021-09-03,0,134712.0
21,2021-09-03,0,134712.0
22,2021-09-03,0,134712.0
23,2021-09-03,0,134712.0
Hour,Date,P(kWh),h_max
00,2021-09-04,0,134712.0
01,2021-09-04,0,134712.0
02,2021-09-04,0,134712.0
03,2021-09-04,0,134712.0
04,2021-09-04,0,134712.0
05,2021-09-04,0,134712.0
06,2021-09-04,2,134714.0
07,2021-09-04,12,134726.0
08,2021-09-04,30,134756.0
09,2021-09-04,33,134789.0
10,2021-09-04,31,134820.0
11,2021-09-04,67,134887.0
12,2021-09-04,74,134961.0
13,2021-09-04,63,135024.0
14,2021-09-04,59,135083.0
15,2021-09-04,39,135122.0
16,2021-09-04,29,135151.0
17,2021-09-04,11,135162.0
18,2021-09-04,1,135163.0
19,2021-09-04,0,135163.0
20,2021-09-04,0,135163.0
21,2021-09-04,0,135163.0
22,2021-09-04,0,135163.0
23,2021-09-04,0,135163.0
Hour,Date,P(kWh),h_max
00,2021-09-05,0,135163.0
01,2021-09-05,0,135163.0
02,2021-09-05,0,135163.0
03,2021-09-05,0,135163.0
04,2021-09-05,0,135163.0
05,2021-09-05,0,135163.0
06,2021-09-05,4,135167.0
07,2021-09-05,14,135181.0
08,2021-09-05,24,135205.0
09,2021-09-05,38,135243.0
10,2021-09-05,34,135277.0
11,2021-09-05,25,135302.0
12,2021-09-05,28,135330.0
13,2021-09-05,30,135360.0
14,2021-09-05,25,135385.0
15,2021-09-05,23,135408.0
16,2021-09-05,15,135423.0
17,2021-09-05,6,135429.0
