Hour,Date,P(kWh),h_max
00,2021-05-01,0,84189.0
01,2021-05-01,0,84189.0
02,2021-05-01,0,84189.0
03,2021-05-01,0,84189.0
04,2021-05-01,0,84189.0
05,2021-05-01,0,84189.0
06,2021-05-01,0,84189.0
07,2021-05-01,4,84193.0
08,2021-05-01,9,84202.0
09,2021-05-01,29,84231.0
10,2021-05-01,45,84276.0
11,2021-05-01,18,84294.0
12,2021-05-01,42,84336.0
13,2021-05-01,24,84360.0
14,2021-05-01,25,84385.0
15,2021-05-01,16,84401.0
16,2021-05-01,31,84432.0
17,2021-05-01,7,84439.0
18,2021-05-01,2,84441.0
19,2021-05-01,0,84441.0
20,2021-05-01,0,84441.0
21,2021-05-01,0,84441.0
22,2021-05-01,0,84441.0
23,2021-05-01,0,84441.0
Hour,Date,P(kWh),h_max
00,2021-05-02,0,84441.0
01,2021-05-02,0,84441.0
02,2021-05-02,0,84441.0
03,2021-05-02,0,84441.0
04,2021-05-02,0,84441.0
05,2021-05-02,0,84441.0
06,2021-05-02,2,84443.0
07,2021-05-02,7,84450.0
08,2021-05-02,29,84479.0
09,2021-05-02,73,84552.0
10,2021-05-02,66,84618.0
11,2021-05-02,58,84676.0
12,2021-05-02,63,84739.0
13,2021-05-02,60,84799.0
14,2021-05-02,39,84838.0
15,2021-05-02,33,84871.0
16,2021-05-02,22,84893.0
17,2021-05-02,9,84902.0
18,2021-05-02,4,84906.0
19,2021-05-02,0,84906.0
20,2021-05-02,0,84906.0
21,2021-05-02,0,84906.0
22,2021-05-02,0,84906.0
23,2021-05-02,0,84906.0
Hour,Date,P(kWh),h_max
00,2021-05-03,0,84906.0
01,2021-05-03,0,84906.0
02,2021-05-03,0,84906.0
03,2021-05-03,0,84906.0
04,2021-05-03,0,84906.0
05,2021-05-03,0,84906.0
06,2021-05-03,6,84912.0
07,2021-05-03,26,84938.0
08,2021-05-03,51,84989.0
09,2021-05-03,71,85060.0
10,2021-05-03,81,85141.0
11,2021-05-03,89,85230.0
12,2021-05-03,88,85318.0
13,2021-05-03,84,85402.0
14,2021-05-03,73,85475.0
15,2021-05-03,57,85532.0
16,2021-05-03,37,85569.0
17,2021-05-03,16,85585.0
18,2021-05-03,3,85588.0
19,2021-05-03,0,85588.0
20,2021-05-03,0,85588.0
21,2021-05-03,0,85588.0
22,2021-05-03,0,85588.0
23,2021-05-03,0,85588.0
Hour,Date,P(kWh),h_max
00,2021-05-04,0,85588.0
01,2021-05-04,0,85588.0
02,2021-05-04,0,85588.0
03,2021-05-04,0,85588.0
04,2021-05-04,0,85588.0
05,2021-05-04,1,85589.0
06,2021-05-04,7,85596.0
07,2021-05-04,23,85619.0
08,2021-05-04,32,85651.0
09,2021-05-04,25,85676.0
10,2021-05-04,15,85691.0
11,2021-05-04,9,85700.0
12,2021-05-04,13,85713.0
13,2021-05-04,7,85720.0
14,2021-05-04,6,85726.0
15,2021-05-04,5,85731.0
16,2021-05-04,5,85736.0
17,2021-05-04,6,85742.0
18,2021-05-04,1,85743.0
19,2021-05-04,0,85743.0
20,2021-05-04,0,85743.0
21,2021-05-04,0,85743.0
22,2021-05-04,0,85743.0
23,2021-05-04,0,85743.0
Hour,Date,P(kWh),h_max
00,2021-05-05,0,85743.0
01,2021-05-05,0,85743.0
02,2021-05-05,0,85743.0
03,2021-05-05,0,85743.0
04,2021-05-05,0,85743.0
05,2021-05-05,1,85744.0
06,2021-05-05,6,85750.0
07,2021-05-05,21,85771.0
08,2021-05-05,51,85822.0
09,2021-05-05,71,85893.0
10,2021-05-05,83,85976.0
11,2021-05-05,89,86065.0
12,2021-05-05,88,86153.0
13,2021-05-05,89,86242.0
14,2021-05-05,77,86319.0
15,2021-05-05,61,86380.0
16,2021-05-05,41,86421.0
17,2021-05-05,17,86438.0
18,2021-05-05,5,86443.0
19,2021-05-05,0,86443.0
20,2021-05-05,0,86443.0
21,2021-05-05,0,86443.0
22,2021-05-05,0,86443.0
23,2021-05-05,0,86443.0
Hour,Date,P(kWh),h_max
00,2021-05-06,0,86443.0
01,2021-05-06,0,86443.0
02,2021-05-06,0,86443.0
03,2021-05-06,0,86443.0
04,2021-05-06,0,86443.0
05,2021-05-06,1,86444.0
06,2021-05-06,6,86450.0
07,2021-05-06,29,86479.0
08,2021-05-06,52,86531.0
09,2021-05-06,72,86603.0
10,2021-05-06,84,86687.0
11,2021-05-06,89,86776.0
12,2021-05-06,90,86866.0
13,2021-05-06,84,86950.0
14,2021-05-06,66,87016.0
15,2021-05-06,39,87055.0
16,2021-05-06,25,87080.0
17,2021-05-06,12,87092.0
18,2021-05-06,4,87096.0
19,2021-05-06,0,87096.0
20,2021-05-06,0,87096.0
21,2021-05-06,0,87096.0
22,2021-05-06,0,87096.0
23,2021-05-06,0,87096.0
Hour,Date,P(kWh),h_max
00,2021-05-07,0,87096.0
01,2021-05-07,0,87096.0
02,2021-05-07,0,87096.0
03,2021-05-07,0,87096.0
04,2021-05-07,0,87096.0
05,2021-05-07,1,87097.0
06,2021-05-07,6,87103.0
07,2021-05-07,21,87124.0
08,2021-05-07,36,87160.0
09,2021-05-07,58,87218.0
10,2021-05-07,74,87292.0
11,2021-05-07,78,87370.0
12,2021-05-07,66,87436.0
13,2021-05-07,62,87498.0
14,2021-05-07,18,87516.0
15,2021-05-07,26,87542.0
16,2021-05-07,22,87564.0
17,2021-05-07,12,87576.0
18,2021-05-07,4,87580.0
19,2021-05-07,0,87580.0
20,2021-05-07,0,87580.0
21,2021-05-07,0,87580.0
22,2021-05-07,0,87580.0
23,2021-05-07,0,87580.0
Hour,Date,P(kWh),h_max
00,2021-05-08,0,87580.0
01,2021-05-08,0,87580.0
02,2021-05-08,0,87580.0
03,2021-05-08,0,87580.0
04,2021-05-08,0,87580.0
05,2021-05-08,1,87581.0
06,2021-05-08,7,87588.0
07,2021-05-08,29,87617.0
08,2021-05-08,53,87670.0
09,2021-05-08,72,87742.0
10,2021-05-08,83,87825.0
11,2021-05-08,88,87913.0
12,2021-05-08,84,87997.0
13,2021-05-08,86,88083.0
14,2021-05-08,66,88149.0
15,2021-05-08,57,88206.0
16,2021-05-08,37,88243.0
17,2021-05-08,17,88260.0
18,2021-05-08,4,88264.0
19,2021-05-08,0,88264.0
20,2021-05-08,0,88264.0
21,2021-05-08,0,88264.0
22,2021-05-08,0,88264.0
23,2021-05-08,0,88264.0
Hour,Date,P(kWh),h_max
00,2021-05-09,0,88264.0
01,2021-05-09,0,88264.0
02,2021-05-09,0,88264.0
03,2021-05-09,0,88264.0
04,2021-05-09,0,88264.0
05,2021-05-09,1,88265.0
06,2021-05-09,7,88272.0
07,2021-05-09,29,88301.0
08,2021-05-09,53,88354.0
09,2021-05-09,70,88424.0
10,2021-05-09,85,88509.0
11,2021-05-09,92,88601.0
12,2021-05-09,91,88692.0
13,2021-05-09,86,88778.0
14,2021-05-09,77,88855.0
15,2021-05-09,60,88915.0
16,2021-05-09,40,88955.0
17,2021-05-09,17,88972.0
18,2021-05-09,4,88976.0
19,2021-05-09,0,88976.0
20,2021-05-09,0,88976.0
21,2021-05-09,0,88976.0
22,2021-05-09,0,88976.0
23,2021-05-09,0,88976.0
Hour,Date,P(kWh),h_max
00,2021-05-10,0,88976.0
01,2021-05-10,0,88976.0
02,2021-05-10,0,88976.0
03,2021-05-10,0,88976.0
04,2021-05-10,0,88976.0
05,2021-05-10,0,88976.0
06,2021-05-10,3,88979.0
07,2021-05-10,9,88988.0
08,2021-05-10,16,89004.0
09,2021-05-10,13,89017.0
10,2021-05-10,8,89025.0
11,2021-05-10,21,89046.0
12,2021-05-10,31,89077.0
13,2021-05-10,35,89112.0
14,2021-05-10,12,89124.0
15,2021-05-10,17,89141.0
16,2021-05-10,13,89154.0
17,2021-05-10,14,89168.0
18,2021-05-10,5,89173.0
19,2021-05-10,0,89173.0
20,2021-05-10,0,89173.0
21,2021-05-10,0,89173.0
22,2021-05-10,0,89173.0
