Hour,Date,P(kWh),h_max
0,10/1/2021,0,143366
1,10/1/2021,0,143366
2,10/1/2021,0,143366
3,10/1/2021,0,143366
4,10/1/2021,0,143366
5,10/1/2021,0,143366
6,10/1/2021,1,143367
7,10/1/2021,6,143373
8,10/1/2021,30,143403
9,10/1/2021,58,143461
10,10/1/2021,72,143533
11,10/1/2021,79,143612
12,10/1/2021,80,143692
13,10/1/2021,66,143758
14,10/1/2021,61,143819
15,10/1/2021,44,143863
16,10/1/2021,24,143887
17,10/1/2021,5,143892
18,10/1/2021,0,143892
19,10/1/2021,0,143892
20,10/1/2021,0,143892
21,10/1/2021,0,143892
22,10/1/2021,0,143892
23,10/1/2021,0,143892
Hour,Date,P(kWh),h_max
0,10/2/2021,0,143892
1,10/2/2021,0,143892
2,10/2/2021,0,143892
3,10/2/2021,0,143892
4,10/2/2021,0,143892
5,10/2/2021,0,143892
6,10/2/2021,1,143893
7,10/2/2021,8,143901
8,10/2/2021,26,143927
9,10/2/2021,55,143982
10,10/2/2021,70,144052
11,10/2/2021,77,144129
12,10/2/2021,79,144208
13,10/2/2021,74,144282
14,10/2/2021,63,144345
15,10/2/2021,44,144389
16,10/2/2021,23,144412
17,10/2/2021,5,144417
18,10/2/2021,0,144417
19,10/2/2021,0,144417
20,10/2/2021,0,144417
21,10/2/2021,0,144417
22,10/2/2021,0,144417
23,10/2/2021,0,144417
Hour,Date,P(kWh),h_max
0,10/3/2021,0,144417
1,10/3/2021,0,144417
2,10/3/2021,0,144417
3,10/3/2021,0,144417
4,10/3/2021,0,144417
5,10/3/2021,0,144417
6,10/3/2021,1,144418
7,10/3/2021,7,144425
8,10/3/2021,27,144452
9,10/3/2021,56,144508
10,10/3/2021,70,144578
11,10/3/2021,77,144655
12,10/3/2021,77,144732
13,10/3/2021,72,144804
14,10/3/2021,62,144866
15,10/3/2021,39,144905
16,10/3/2021,17,144922
17,10/3/2021,5,144927
18,10/3/2021,0,144927
19,10/3/2021,0,144927
20,10/3/2021,0,144927
21,10/3/2021,0,144927
22,10/3/2021,0,144927
23,10/3/2021,0,144927
Hour,Date,P(kWh),h_max
0,10/4/2021,0,144927
1,10/4/2021,0,144927
2,10/4/2021,0,144927
3,10/4/2021,0,144927
4,10/4/2021,0,144927
5,10/4/2021,0,144927
6,10/4/2021,2,144929
7,10/4/2021,7,144936
8,10/4/2021,23,144959
9,10/4/2021,30,144989
10,10/4/2021,50,145039
11,10/4/2021,65,145104
12,10/4/2021,48,145152
13,10/4/2021,56,145208
14,10/4/2021,52,145260
15,10/4/2021,45,145305
16,10/4/2021,16,145321
17,10/4/2021,3,145324
18,10/4/2021,0,145324
19,10/4/2021,0,145324
20,10/4/2021,0,145324
21,10/4/2021,0,145324
22,10/4/2021,0,145324
23,10/4/2021,0,145324
Hour,Date,P(kWh),h_max
0,10/5/2021,0,145324
1,10/5/2021,0,145324
2,10/5/2021,0,145324
3,10/5/2021,0,145324
4,10/5/2021,0,145324
5,10/5/2021,0,145324
6,10/5/2021,1,145325
7,10/5/2021,6,145331
8,10/5/2021,26,145357
9,10/5/2021,57,145414
10,10/5/2021,71,145485
11,10/5/2021,75,145560
12,10/5/2021,73,145633
13,10/5/2021,67,145700
14,10/5/2021,64,145764
15,10/5/2021,45,145809
16,10/5/2021,21,145830
17,10/5/2021,4,145834
18,10/5/2021,0,145834
19,10/5/2021,0,145834
20,10/5/2021,0,145834
21,10/5/2021,0,145834
22,10/5/2021,0,145834
23,10/5/2021,0,145834
Hour,Date,P(kWh),h_max
0,10/6/2021,0,145834
1,10/6/2021,0,145834
2,10/6/2021,0,145834
3,10/6/2021,0,145834
4,10/6/2021,0,145834
5,10/6/2021,0,145834
6,10/6/2021,1,145835
7,10/6/2021,7,145842
8,10/6/2021,26,145868
9,10/6/2021,33,145901
10,10/6/2021,41,145942
11,10/6/2021,22,145964
12,10/6/2021,13,145977
13,10/6/2021,17,145994
14,10/6/2021,25,146019
15,10/6/2021,16,146035
16,10/6/2021,5,146040
17,10/6/2021,1,146041
18,10/6/2021,0,146041
19,10/6/2021,0,146041
20,10/6/2021,0,146041
21,10/6/2021,0,146041
22,10/6/2021,0,146041
23,10/6/2021,0,146041
Hour,Date,P(kWh),h_max
0,10/7/2021,0,146041
1,10/7/2021,0,146041
2,10/7/2021,0,146041
3,10/7/2021,0,146041
4,10/7/2021,0,146041
5,10/7/2021,0,146041
6,10/7/2021,1,146042
7,10/7/2021,7,146049
8,10/7/2021,21,146070
9,10/7/2021,53,146123
10,10/7/2021,70,146193
11,10/7/2021,52,146245
12,10/7/2021,69,146314
13,10/7/2021,58,146372
14,10/7/2021,60,146432
15,10/7/2021,42,146474
16,10/7/2021,20,146494
17,10/7/2021,4,146498
18,10/7/2021,0,146498
19,10/7/2021,0,146498
20,10/7/2021,0,146498
21,10/7/2021,0,146498
22,10/7/2021,0,146498
23,10/7/2021,0,146498
Hour,Date,P(kWh),h_max
0,10/8/2021,0,146498
1,10/8/2021,0,146498
2,10/8/2021,0,146498
3,10/8/2021,0,146498
4,10/8/2021,0,146498
5,10/8/2021,0,146498
6,10/8/2021,0,146498
7,10/8/2021,4,146502
8,10/8/2021,5,146507
9,10/8/2021,6,146513
10,10/8/2021,12,146525
11,10/8/2021,12,146537
12,10/8/2021,13,146550
13,10/8/2021,21,146571
14,10/8/2021,11,146582
15,10/8/2021,8,146590
16,10/8/2021,5,146595
17,10/8/2021,0,146595
18,10/8/2021,0,146595
19,10/8/2021,0,146595
20,10/8/2021,0,146595
21,10/8/2021,0,146595
