Hour,Date,P(kWh),h_max
00,2021-06-01,0,98013.0
01,2021-06-01,0,98013.0
02,2021-06-01,0,98013.0
03,2021-06-01,0,98013.0
04,2021-06-01,0,98013.0
05,2021-06-01,1,98014.0
06,2021-06-01,10,98024.0
07,2021-06-01,28,98052.0
08,2021-06-01,47,98099.0
09,2021-06-01,63,98162.0
10,2021-06-01,70,98232.0
11,2021-06-01,66,98298.0
12,2021-06-01,72,98370.0
13,2021-06-01,75,98445.0
14,2021-06-01,63,98508.0
15,2021-06-01,54,98562.0
16,2021-06-01,34,98596.0
17,2021-06-01,18,98614.0
18,2021-06-01,6,98620.0
19,2021-06-01,1,98621.0
20,2021-06-01,0,98621.0
21,2021-06-01,0,98621.0
22,2021-06-01,0,98621.0
23,2021-06-01,0,98621.0
Hour,Date,P(kWh),h_max
00,2021-06-02,0,98621.0
01,2021-06-02,0,98621.0
02,2021-06-02,0,98621.0
03,2021-06-02,0,98621.0
04,2021-06-02,0,98621.0
05,2021-06-02,1,98622.0
06,2021-06-02,10,98632.0
07,2021-06-02,22,98654.0
08,2021-06-02,33,98687.0
09,2021-06-02,51,98738.0
10,2021-06-02,74,98812.0
11,2021-06-02,70,98882.0
12,2021-06-02,70,98952.0
13,2021-06-02,63,99015.0
14,2021-06-02,46,99061.0
15,2021-06-02,36,99097.0
16,2021-06-02,21,99118.0
17,2021-06-02,17,99135.0
18,2021-06-02,6,99141.0
19,2021-06-02,0,99141.0
20,2021-06-02,0,99141.0
21,2021-06-02,0,99141.0
22,2021-06-02,0,99141.0
23,2021-06-02,0,99141.0
Hour,Date,P(kWh),h_max
00,2021-06-03,0,99141.0
01,2021-06-03,0,99141.0
02,2021-06-03,0,99141.0
03,2021-06-03,0,99141.0
04,2021-06-03,0,99141.0
05,2021-06-03,3,99144.0
06,2021-06-03,10,99154.0
07,2021-06-03,17,99171.0
08,2021-06-03,8,99179.0
09,2021-06-03,15,99194.0
10,2021-06-03,15,99209.0
11,2021-06-03,15,99224.0
12,2021-06-03,18,99242.0
13,2021-06-03,5,99247.0
14,2021-06-03,13,99260.0
15,2021-06-03,7,99267.0
16,2021-06-03,8,99275.0
17,2021-06-03,8,99283.0
18,2021-06-03,2,99285.0
19,2021-06-03,0,99285.0
20,2021-06-03,0,99285.0
21,2021-06-03,0,99285.0
22,2021-06-03,0,99285.0
23,2021-06-03,0,99285.0
Hour,Date,P(kWh),h_max
00,2021-06-04,0,99285.0
