Hour,Date,P(kWh),h_max
00,2021-08-01,0,123878.0
01,2021-08-01,0,123878.0
02,2021-08-01,0,123878.0
03,2021-08-01,0,123878.0
04,2021-08-01,0,123878.0
05,2021-08-01,1,123879.0
06,2021-08-01,3,123882.0
07,2021-08-01,18,123900.0
08,2021-08-01,31,123931.0
09,2021-08-01,50,123981.0
10,2021-08-01,55,124036.0
11,2021-08-01,52,124088.0
12,2021-08-01,70,124158.0
13,2021-08-01,20,124178.0
14,2021-08-01,12,124190.0
15,2021-08-01,23,124213.0
16,2021-08-01,6,124219.0
17,2021-08-01,4,124223.0
18,2021-08-01,0,124223.0
19,2021-08-01,0,124223.0
20,2021-08-01,0,124223.0
21,2021-08-01,0,124223.0
22,2021-08-01,0,124223.0
23,2021-08-01,0,124223.0
Hour,Date,P(kWh),h_max
00,2021-08-02,0,124223.0
01,2021-08-02,0,124223.0
02,2021-08-02,0,124223.0
03,2021-08-02,0,124223.0
04,2021-08-02,0,124223.0
05,2021-08-02,0,124223.0
06,2021-08-02,6,124229.0
07,2021-08-02,10,124239.0
08,2021-08-02,23,124262.0
09,2021-08-02,42,124304.0
10,2021-08-02,45,124349.0
11,2021-08-02,26,124375.0
12,2021-08-02,29,124404.0
13,2021-08-02,53,124457.0
14,2021-08-02,55,124512.0
15,2021-08-02,36,124548.0
16,2021-08-02,10,124558.0
17,2021-08-02,12,124570.0
18,2021-08-02,5,124575.0
19,2021-08-02,1,124576.0
20,2021-08-02,0,124576.0
21,2021-08-02,0,124576.0
22,2021-08-02,0,124576.0
23,2021-08-02,0,124576.0
Hour,Date,P(kWh),h_max
00,2021-08-03,0,124576.0
01,2021-08-03,0,124576.0
02,2021-08-03,0,124576.0
03,2021-08-03,0,124576.0
04,2021-08-03,0,124576.0
05,2021-08-03,0,124576.0
06,2021-08-03,4,124580.0
07,2021-08-03,21,124601.0
08,2021-08-03,28,124629.0
09,2021-08-03,26,124655.0
10,2021-08-03,39,124694.0
11,2021-08-03,70,124764.0
12,2021-08-03,77,124841.0
13,2021-08-03,73,124914.0
14,2021-08-03,58,124972.0
15,2021-08-03,53,125025.0
16,2021-08-03,25,125050.0
17,2021-08-03,17,125067.0
18,2021-08-03,7,125074.0
19,2021-08-03,1,125075.0
20,2021-08-03,0,125075.0
21,2021-08-03,0,125075.0
22,2021-08-03,0,125075.0
23,2021-08-03,0,125075.0
Hour,Date,P(kWh),h_max
00,2021-08-04,0,125075.0
01,2021-08-04,0,125075.0
02,2021-08-04,0,125075.0
03,2021-08-04,0,125075.0
04,2021-08-04,0,125075.0
05,2021-08-04,0,125075.0
06,2021-08-04,4,125079.0
07,2021-08-04,22,125101.0
08,2021-08-04,42,125143.0
09,2021-08-04,60,125203.0
10,2021-08-04,72,125275.0
11,2021-08-04,77,125352.0
12,2021-08-04,78,125430.0
13,2021-08-04,76,125506.0
14,2021-08-04,65,125571.0
15,2021-08-04,52,125623.0
16,2021-08-04,35,125658.0
17,2021-08-04,13,125671.0
18,2021-08-04,5,125676.0
19,2021-08-04,0,125676.0
20,2021-08-04,0,125676.0
21,2021-08-04,0,125676.0
22,2021-08-04,0,125676.0
23,2021-08-04,0,125676.0
Hour,Date,P(kWh),h_max
00,2021-08-05,0,125676.0
01,2021-08-05,0,125676.0
02,2021-08-05,0,125676.0
03,2021-08-05,0,125676.0
04,2021-08-05,0,125676.0
05,2021-08-05,0,125676.0
06,2021-08-05,4,125680.0
07,2021-08-05,21,125701.0
08,2021-08-05,42,125743.0
09,2021-08-05,60,125803.0
10,2021-08-05,59,125862.0
11,2021-08-05,67,125929.0
12,2021-08-05,66,125995.0
13,2021-08-05,63,126058.0
14,2021-08-05,51,126109.0
15,2021-08-05,42,126151.0
16,2021-08-05,34,126185.0
17,2021-08-05,17,126202.0
18,2021-08-05,3,126205.0
19,2021-08-05,0,126205.0
20,2021-08-05,0,126205.0
21,2021-08-05,0,126205.0
22,2021-08-05,0,126205.0
23,2021-08-05,0,126205.0
Hour,Date,P(kWh),h_max
00,2021-08-06,0,126205.0
01,2021-08-06,0,126205.0
02,2021-08-06,0,126205.0
03,2021-08-06,0,126205.0
04,2021-08-06,0,126205.0
05,2021-08-06,1,126206.0
06,2021-08-06,3,126209.0
07,2021-08-06,22,126231.0
08,2021-08-06,43,126274.0
09,2021-08-06,62,126336.0
10,2021-08-06,67,126403.0
11,2021-08-06,77,126480.0
12,2021-08-06,71,126551.0
13,2021-08-06,33,126584.0
14,2021-08-06,41,126625.0
15,2021-08-06,50,126675.0
16,2021-08-06,34,126709.0
17,2021-08-06,19,126728.0
18,2021-08-06,4,126732.0
19,2021-08-06,0,126732.0
20,2021-08-06,0,126732.0
21,2021-08-06,0,126732.0
22,2021-08-06,0,126732.0
23,2021-08-06,0,126732.0
Hour,Date,P(kWh),h_max
00,2021-08-07,0,126732.0
01,2021-08-07,0,126732.0
02,2021-08-07,0,126732.0
03,2021-08-07,0,126732.0
04,2021-08-07,0,126732.0
05,2021-08-07,0,126732.0
06,2021-08-07,5,126737.0
07,2021-08-07,21,126758.0
08,2021-08-07,37,126795.0
09,2021-08-07,57,126852.0
10,2021-08-07,61,126913.0
11,2021-08-07,63,126976.0
12,2021-08-07,80,127056.0
13,2021-08-07,45,127101.0
14,2021-08-07,67,127168.0
15,2021-08-07,49,127217.0
16,2021-08-07,22,127239.0
17,2021-08-07,13,127252.0
18,2021-08-07,5,127257.0
19,2021-08-07,1,127258.0
20,2021-08-07,0,127258.0
21,2021-08-07,0,127258.0
22,2021-08-07,0,127258.0
23,2021-08-07,0,127258.0
Hour,Date,P(kWh),h_max
00,2021-08-08,0,127258.0
01,2021-08-08,0,127258.0
02,2021-08-08,0,127258.0
03,2021-08-08,0,127258.0
04,2021-08-08,0,127258.0
05,2021-08-08,0,127258.0
06,2021-08-08,5,127263.0
07,2021-08-08,15,127278.0
08,2021-08-08,26,127304.0
09,2021-08-08,28,127332.0
10,2021-08-08,25,127357.0
11,2021-08-08,24,127381.0
12,2021-08-08,23,127404.0
13,2021-08-08,15,127419.0
14,2021-08-08,9,127428.0
15,2021-08-08,7,127435.0
16,2021-08-08,2,127437.0
17,2021-08-08,4,127441.0
18,2021-08-08,1,127442.0
19,2021-08-08,0,127442.0
20,2021-08-08,0,127442.0
21,2021-08-08,0,127442.0
22,2021-08-08,0,127442.0
23,2021-08-08,0,127442.0
Hour,Date,P(kWh),h_max
00,2021-08-09,0,127442.0
01,2021-08-09,0,127442.0
02,2021-08-09,0,127442.0
03,2021-08-09,0,127442.0
04,2021-08-09,0,127442.0
05,2021-08-09,0,127442.0
06,2021-08-09,2,127444.0
07,2021-08-09,3,127447.0
08,2021-08-09,20,127467.0
09,2021-08-09,33,127500.0
10,2021-08-09,37,127537.0
11,2021-08-09,38,127575.0
12,2021-08-09,39,127614.0
13,2021-08-09,57,127671.0
14,2021-08-09,42,127713.0
15,2021-08-09,24,127737.0
16,2021-08-09,37,127774.0
17,2021-08-09,7,127781.0
18,2021-08-09,1,127782.0
19,2021-08-09,0,127782.0
20,2021-08-09,0,127782.0
21,2021-08-09,0,127782.0
22,2021-08-09,0,127782.0
23,2021-08-09,0,127782.0
Hour,Date,P(kWh),h_max
00,2021-08-10,0,127782.0
01,2021-08-10,0,127782.0
02,2021-08-10,0,127782.0
03,2021-08-10,0,127782.0
04,2021-08-10,0,127782.0
05,2021-08-10,0,127782.0
06,2021-08-10,1,127783.0
07,2021-08-10,1,127784.0
08,2021-08-10,4,127788.0
09,2021-08-10,12,127800.0
10,2021-08-10,13,127813.0
11,2021-08-10,63,127876.0
12,2021-08-10,63,127939.0
13,2021-08-10,30,127969.0
14,2021-08-10,13,127982.0
15,2021-08-10,19,128001.0
16,2021-08-10,14,128015.0
17,2021-08-10,7,128022.0
18,2021-08-10,2,128024.0
19,2021-08-10,0,128024.0
20,2021-08-10,0,128024.0
21,2021-08-10,0,128024.0
22,2021-08-10,0,128024.0
23,2021-08-10,0,128024.0
Hour,Date,P(kWh),h_max
00,2021-08-11,0,128024.0
01,2021-08-11,0,128024.0
02,2021-08-11,0,128024.0
03,2021-08-11,0,128024.0
04,2021-08-11,0,128024.0
05,2021-08-11,0,128024.0
06,2021-08-11,3,128027.0
07,2021-08-11,10,128037.0
08,2021-08-11,28,128065.0
09,2021-08-11,57,128122.0
10,2021-08-11,61,128183.0
11,2021-08-11,48,128231.0
12,2021-08-11,50,128281.0
13,2021-08-11,66,128347.0
14,2021-08-11,64,128411.0
15,2021-08-11,53,128464.0
16,2021-08-11,36,128500.0
17,2021-08-11,15,128515.0
18,2021-08-11,2,128517.0
19,2021-08-11,0,128517.0
20,2021-08-11,0,128517.0
21,2021-08-11,0,128517.0
22,2021-08-11,0,128517.0
23,2021-08-11,0,128517.0
Hour,Date,P(kWh),h_max
00,2021-08-12,0,128517.0
01,2021-08-12,0,128517.0
02,2021-08-12,0,128517.0
03,2021-08-12,0,128517.0
04,2021-08-12,0,128517.0
05,2021-08-12,0,128517.0
06,2021-08-12,5,128522.0
07,2021-08-12,12,128534.0
08,2021-08-12,20,128554.0
09,2021-08-12,27,128581.0
10,2021-08-12,43,128624.0
11,2021-08-12,35,128659.0
12,2021-08-12,55,128714.0
13,2021-08-12,69,128783.0
14,2021-08-12,68,128851.0
15,2021-08-12,32,128883.0
16,2021-08-12,18,128901.0
17,2021-08-12,5,128906.0
18,2021-08-12,0,128906.0
19,2021-08-12,0,128906.0
20,2021-08-12,0,128906.0
21,2021-08-12,0,128906.0
22,2021-08-12,0,128906.0
23,2021-08-12,0,128906.0
Hour,Date,P(kWh),h_max
00,2021-08-13,0,128906.0
01,2021-08-13,0,128906.0
02,2021-08-13,0,128906.0
03,2021-08-13,0,128906.0
04,2021-08-13,0,128906.0
05,2021-08-13,0,128906.0
06,2021-08-13,5,128911.0
07,2021-08-13,10,128921.0
08,2021-08-13,26,128947.0
09,2021-08-13,30,128977.0
10,2021-08-13,41,129018.0
11,2021-08-13,38,129056.0
12,2021-08-13,43,129099.0
13,2021-08-13,20,129119.0
14,2021-08-13,17,129136.0
15,2021-08-13,29,129165.0
16,2021-08-13,16,129181.0
17,2021-08-13,4,129185.0
18,2021-08-13,2,129187.0
19,2021-08-13,0,129187.0
20,2021-08-13,0,129187.0
21,2021-08-13,0,129187.0
22,2021-08-13,0,129187.0
23,2021-08-13,0,129187.0
Hour,Date,P(kWh),h_max
00,2021-08-14,0,129187.0
01,2021-08-14,0,129187.0
02,2021-08-14,0,129187.0
03,2021-08-14,0,129187.0
04,2021-08-14,0,129187.0
05,2021-08-14,0,129187.0
06,2021-08-14,0,129187.0
07,2021-08-14,1,129188.0
08,2021-08-14,7,129195.0
09,2021-08-14,14,129209.0
10,2021-08-14,17,129226.0
11,2021-08-14,25,129251.0
12,2021-08-14,24,129275.0
13,2021-08-14,29,129304.0
14,2021-08-14,26,129330.0
15,2021-08-14,16,129346.0
16,2021-08-14,16,129362.0
17,2021-08-14,5,129367.0
18,2021-08-14,1,129368.0
19,2021-08-14,0,129368.0
20,2021-08-14,0,129368.0
21,2021-08-14,0,129368.0
22,2021-08-14,0,129368.0
23,2021-08-14,0,129368.0
Hour,Date,P(kWh),h_max
00,2021-08-15,0,129368.0
01,2021-08-15,0,129368.0
02,2021-08-15,0,129368.0
03,2021-08-15,0,129368.0
04,2021-08-15,0,129368.0
05,2021-08-15,0,129368.0
06,2021-08-15,5,129373.0
07,2021-08-15,16,129389.0
08,2021-08-15,21,129410.0
09,2021-08-15,40,129450.0
10,2021-08-15,23,129473.0
11,2021-08-15,51,129524.0
12,2021-08-15,29,129553.0
13,2021-08-15,16,129569.0
14,2021-08-15,18,129587.0
15,2021-08-15,15,129602.0
16,2021-08-15,12,129614.0
17,2021-08-15,9,129623.0
18,2021-08-15,2,129625.0
19,2021-08-15,0,129625.0
20,2021-08-15,0,129625.0
21,2021-08-15,0,129625.0
22,2021-08-15,0,129625.0
23,2021-08-15,0,129625.0
Hour,Date,P(kWh),h_max
00,2021-08-16,0,129625.0
01,2021-08-16,0,129625.0
02,2021-08-16,0,129625.0
03,2021-08-16,0,129625.0
04,2021-08-16,0,129625.0
05,2021-08-16,0,129625.0
06,2021-08-16,2,129627.0
07,2021-08-16,7,129634.0
08,2021-08-16,7,129641.0
09,2021-08-16,9,129650.0
10,2021-08-16,8,129658.0
11,2021-08-16,31,129689.0
12,2021-08-16,70,129759.0
13,2021-08-16,45,129804.0
14,2021-08-16,67,129871.0
15,2021-08-16,60,129931.0
16,2021-08-16,30,129961.0
17,2021-08-16,13,129974.0
18,2021-08-16,4,129978.0
19,2021-08-16,0,129978.0
20,2021-08-16,0,129978.0
21,2021-08-16,0,129978.0
22,2021-08-16,0,129978.0
23,2021-08-16,0,129978.0
Hour,Date,P(kWh),h_max
00,2021-08-17,0,129978.0
01,2021-08-17,0,129978.0
02,2021-08-17,0,129978.0
03,2021-08-17,0,129978.0
04,2021-08-17,0,129978.0
05,2021-08-17,0,129978.0
06,2021-08-17,3,129981.0
07,2021-08-17,6,129987.0
08,2021-08-17,6,129993.0
09,2021-08-17,3,129996.0
10,2021-08-17,3,129999.0
11,2021-08-17,13,130012.0
12,2021-08-17,20,130032.0
13,2021-08-17,18,130050.0
14,2021-08-17,36,130086.0
15,2021-08-17,19,130105.0
16,2021-08-17,8,130113.0
17,2021-08-17,3,130116.0
18,2021-08-17,2,130118.0
19,2021-08-17,0,130118.0
20,2021-08-17,0,130118.0
21,2021-08-17,0,130118.0
22,2021-08-17,0,130118.0
23,2021-08-17,0,130118.0
Hour,Date,P(kWh),h_max
00,2021-08-18,0,130118.0
01,2021-08-18,0,130118.0
02,2021-08-18,0,130118.0
03,2021-08-18,0,130118.0
04,2021-08-18,0,130118.0
05,2021-08-18,0,130118.0
06,2021-08-18,2,130120.0
07,2021-08-18,9,130129.0
08,2021-08-18,6,130135.0
09,2021-08-18,14,130149.0
10,2021-08-18,18,130167.0
11,2021-08-18,24,130191.0
12,2021-08-18,26,130217.0
13,2021-08-18,48,130265.0
14,2021-08-18,34,130299.0
15,2021-08-18,19,130318.0
16,2021-08-18,9,130327.0
17,2021-08-18,7,130334.0
18,2021-08-18,2,130336.0
19,2021-08-18,0,130336.0
20,2021-08-18,0,130336.0
21,2021-08-18,0,130336.0
22,2021-08-18,0,130336.0
23,2021-08-18,0,130336.0
Hour,Date,P(kWh),h_max
00,2021-08-19,0,130336.0
01,2021-08-19,0,130336.0
02,2021-08-19,0,130336.0
03,2021-08-19,0,130336.0
04,2021-08-19,0,130336.0
05,2021-08-19,0,130336.0
06,2021-08-19,3,130339.0
07,2021-08-19,11,130350.0
08,2021-08-19,36,130386.0
09,2021-08-19,28,130414.0
10,2021-08-19,31,130445.0
11,2021-08-19,14,130459.0
12,2021-08-19,31,130490.0
13,2021-08-19,26,130516.0
14,2021-08-19,28,130544.0
15,2021-08-19,32,130576.0
16,2021-08-19,7,130583.0
17,2021-08-19,14,130597.0
18,2021-08-19,6,130603.0
19,2021-08-19,0,130603.0
20,2021-08-19,0,130603.0
21,2021-08-19,0,130603.0
22,2021-08-19,0,130603.0
23,2021-08-19,0,130603.0
Hour,Date,P(kWh),h_max
00,2021-08-20,0,130603.0
01,2021-08-20,0,130603.0
02,2021-08-20,0,130603.0
03,2021-08-20,0,130603.0
04,2021-08-20,0,130603.0
05,2021-08-20,0,130603.0
06,2021-08-20,8,130611.0
07,2021-08-20,20,130631.0
08,2021-08-20,35,130666.0
09,2021-08-20,42,130708.0
10,2021-08-20,62,130770.0
11,2021-08-20,78,130848.0
12,2021-08-20,68,130916.0
13,2021-08-20,72,130988.0
14,2021-08-20,17,131005.0
15,2021-08-20,50,131055.0
16,2021-08-20,32,131087.0
17,2021-08-20,16,131103.0
18,2021-08-20,3,131106.0
19,2021-08-20,0,131106.0
20,2021-08-20,0,131106.0
21,2021-08-20,0,131106.0
22,2021-08-20,0,131106.0
23,2021-08-20,0,131106.0
Hour,Date,P(kWh),h_max
00,2021-08-21,0,131106.0
01,2021-08-21,0,131106.0
02,2021-08-21,0,131106.0
03,2021-08-21,0,131106.0
04,2021-08-21,0,131106.0
05,2021-08-21,0,131106.0
06,2021-08-21,2,131108.0
07,2021-08-21,4,131112.0
08,2021-08-21,8,131120.0
09,2021-08-21,14,131134.0
10,2021-08-21,13,131147.0
11,2021-08-21,4,131151.0
12,2021-08-21,12,131163.0
13,2021-08-21,5,131168.0
14,2021-08-21,5,131173.0
15,2021-08-21,2,131175.0
16,2021-08-21,2,131177.0
17,2021-08-21,3,131180.0
18,2021-08-21,2,131182.0
19,2021-08-21,0,131182.0
20,2021-08-21,0,131182.0
21,2021-08-21,0,131182.0
22,2021-08-21,0,131182.0
23,2021-08-21,0,131182.0
Hour,Date,P(kWh),h_max
00,2021-08-22,0,131182.0
01,2021-08-22,0,131182.0
02,2021-08-22,0,131182.0
03,2021-08-22,0,131182.0
04,2021-08-22,0,131182.0
05,2021-08-22,0,131182.0
06,2021-08-22,3,131185.0
07,2021-08-22,16,131201.0
08,2021-08-22,34,131235.0
09,2021-08-22,32,131267.0
10,2021-08-22,49,131316.0
11,2021-08-22,47,131363.0
12,2021-08-22,52,131415.0
13,2021-08-22,56,131471.0
14,2021-08-22,60,131531.0
15,2021-08-22,49,131580.0
16,2021-08-22,34,131614.0
17,2021-08-22,12,131626.0
18,2021-08-22,3,131629.0
19,2021-08-22,0,131629.0
20,2021-08-22,0,131629.0
21,2021-08-22,0,131629.0
22,2021-08-22,0,131629.0
23,2021-08-22,0,131629.0
Hour,Date,P(kWh),h_max
00,2021-08-23,0,131629.0
01,2021-08-23,0,131629.0
02,2021-08-23,0,131629.0
03,2021-08-23,0,131629.0
04,2021-08-23,0,131629.0
05,2021-08-23,0,131629.0
06,2021-08-23,1,131630.0
07,2021-08-23,7,131637.0
08,2021-08-23,8,131645.0
09,2021-08-23,9,131654.0
10,2021-08-23,10,131664.0
11,2021-08-23,19,131683.0
12,2021-08-23,20,131703.0
13,2021-08-23,20,131723.0
14,2021-08-23,10,131733.0
15,2021-08-23,6,131739.0
16,2021-08-23,4,131743.0
17,2021-08-23,3,131746.0
18,2021-08-23,1,131747.0
19,2021-08-23,0,131747.0
20,2021-08-23,0,131747.0
21,2021-08-23,0,131747.0
22,2021-08-23,0,131747.0
23,2021-08-23,0,131747.0
Hour,Date,P(kWh),h_max
00,2021-08-24,0,131747.0
01,2021-08-24,0,131747.0
02,2021-08-24,0,131747.0
03,2021-08-24,0,131747.0
04,2021-08-24,0,131747.0
05,2021-08-24,0,131747.0
06,2021-08-24,1,131748.0
07,2021-08-24,3,131751.0
08,2021-08-24,3,131754.0
09,2021-08-24,2,131756.0
10,2021-08-24,1,131757.0
11,2021-08-24,0,131757.0
12,2021-08-24,7,131764.0
13,2021-08-24,17,131781.0
14,2021-08-24,6,131787.0
15,2021-08-24,5,131792.0
16,2021-08-24,16,131808.0
17,2021-08-24,4,131812.0
18,2021-08-24,2,131814.0
19,2021-08-24,0,131814.0
20,2021-08-24,0,131814.0
21,2021-08-24,0,131814.0
22,2021-08-24,0,131814.0
23,2021-08-24,0,131814.0
Hour,Date,P(kWh),h_max
00,2021-08-25,0,131814.0
01,2021-08-25,0,131814.0
02,2021-08-25,0,131814.0
03,2021-08-25,0,131814.0
04,2021-08-25,0,131814.0
05,2021-08-25,0,131814.0
06,2021-08-25,2,131816.0
07,2021-08-25,17,131833.0
08,2021-08-25,20,131853.0
09,2021-08-25,8,131861.0
10,2021-08-25,21,131882.0
11,2021-08-25,27,131909.0
12,2021-08-25,17,131926.0
13,2021-08-25,19,131945.0
14,2021-08-25,16,131961.0
15,2021-08-25,9,131970.0
16,2021-08-25,13,131983.0
17,2021-08-25,13,131996.0
18,2021-08-25,4,132000.0
19,2021-08-25,0,132000.0
20,2021-08-25,0,132000.0
21,2021-08-25,0,132000.0
22,2021-08-25,0,132000.0
23,2021-08-25,0,132000.0
Hour,Date,P(kWh),h_max
00,2021-08-26,0,132000.0
01,2021-08-26,0,132000.0
02,2021-08-26,0,132000.0
03,2021-08-26,0,132000.0
04,2021-08-26,0,132000.0
05,2021-08-26,0,132000.0
06,2021-08-26,4,132004.0
07,2021-08-26,19,132023.0
08,2021-08-26,43,132066.0
09,2021-08-26,65,132131.0
10,2021-08-26,72,132203.0
11,2021-08-26,75,132278.0
12,2021-08-26,75,132353.0
13,2021-08-26,75,132428.0
14,2021-08-26,70,132498.0
15,2021-08-26,56,132554.0
16,2021-08-26,36,132590.0
17,2021-08-26,12,132602.0
18,2021-08-26,2,132604.0
19,2021-08-26,0,132604.0
20,2021-08-26,0,132604.0
21,2021-08-26,0,132604.0
22,2021-08-26,0,132604.0
23,2021-08-26,0,132604.0
Hour,Date,P(kWh),h_max
00,2021-08-27,0,132604.0
01,2021-08-27,0,132604.0
02,2021-08-27,0,132604.0
03,2021-08-27,0,132604.0
04,2021-08-27,0,132604.0
05,2021-08-27,0,132604.0
06,2021-08-27,4,132608.0
07,2021-08-27,15,132623.0
08,2021-08-27,39,132662.0
09,2021-08-27,17,132679.0
10,2021-08-27,15,132694.0
11,2021-08-27,17,132711.0
12,2021-08-27,50,132761.0
13,2021-08-27,61,132822.0
14,2021-08-27,42,132864.0
15,2021-08-27,14,132878.0
16,2021-08-27,11,132889.0
17,2021-08-27,3,132892.0
18,2021-08-27,0,132892.0
19,2021-08-27,0,132892.0
20,2021-08-27,0,132892.0
21,2021-08-27,0,132892.0
22,2021-08-27,0,132892.0
23,2021-08-27,0,132892.0
Hour,Date,P(kWh),h_max
00,2021-08-28,0,132892.0
01,2021-08-28,0,132892.0
02,2021-08-28,0,132892.0
03,2021-08-28,0,132892.0
04,2021-08-28,0,132892.0
05,2021-08-28,0,132892.0
06,2021-08-28,5,132897.0
07,2021-08-28,17,132914.0
08,2021-08-28,30,132944.0
09,2021-08-28,60,133004.0
10,2021-08-28,65,133069.0
11,2021-08-28,82,133151.0
12,2021-08-28,66,133217.0
13,2021-08-28,78,133295.0
14,2021-08-28,68,133363.0
15,2021-08-28,45,133408.0
16,2021-08-28,29,133437.0
17,2021-08-28,10,133447.0
18,2021-08-28,2,133449.0
19,2021-08-28,0,133449.0
20,2021-08-28,0,133449.0
21,2021-08-28,0,133449.0
22,2021-08-28,0,133449.0
23,2021-08-28,0,133449.0
Hour,Date,P(kWh),h_max
00,2021-08-29,0,133449.0
01,2021-08-29,0,133449.0
02,2021-08-29,0,133449.0
03,2021-08-29,0,133449.0
04,2021-08-29,0,133449.0
05,2021-08-29,0,133449.0
06,2021-08-29,1,133450.0
07,2021-08-29,6,133456.0
08,2021-08-29,10,133466.0
09,2021-08-29,12,133478.0
10,2021-08-29,7,133485.0
11,2021-08-29,11,133496.0
12,2021-08-29,27,133523.0
13,2021-08-29,31,133554.0
14,2021-08-29,15,133569.0
15,2021-08-29,19,133588.0
16,2021-08-29,14,133602.0
17,2021-08-29,7,133609.0
18,2021-08-29,1,133610.0
19,2021-08-29,0,133610.0
20,2021-08-29,0,133610.0
21,2021-08-29,0,133610.0
22,2021-08-29,0,133610.0
23,2021-08-29,0,133610.0
Hour,Date,P(kWh),h_max
00,2021-08-30,0,133610.0
01,2021-08-30,0,133610.0
02,2021-08-30,0,133610.0
03,2021-08-30,0,133610.0
04,2021-08-30,0,133610.0
05,2021-08-30,0,133610.0
06,2021-08-30,2,133612.0
07,2021-08-30,9,133621.0
08,2021-08-30,16,133637.0
09,2021-08-30,26,133663.0
10,2021-08-30,33,133696.0
11,2021-08-30,63,133759.0
12,2021-08-30,65,133824.0
13,2021-08-30,61,133885.0
14,2021-08-30,47,133932.0
15,2021-08-30,40,133972.0
16,2021-08-30,22,133994.0
17,2021-08-30,10,134004.0
18,2021-08-30,2,134006.0
19,2021-08-30,0,134006.0
20,2021-08-30,0,134006.0
21,2021-08-30,0,134006.0
22,2021-08-30,0,134006.0
23,2021-08-30,0,134006.0
Hour,Date,P(kWh),h_max
00,2021-08-31,0,134006.0
01,2021-08-31,0,134006.0
02,2021-08-31,0,134006.0
03,2021-08-31,0,134006.0
04,2021-08-31,0,134006.0
05,2021-08-31,0,134006.0
06,2021-08-31,1,134007.0
07,2021-08-31,5,134012.0
08,2021-08-31,9,134021.0
09,2021-08-31,11,134032.0
10,2021-08-31,19,134051.0
11,2021-08-31,59,134110.0
12,2021-08-31,43,134153.0
13,2021-08-31,47,134200.0
14,2021-08-31,35,134235.0
15,2021-08-31,19,134254.0
16,2021-08-31,7,134261.0
17,2021-08-31,4,134265.0
18,2021-08-31,1,134266.0
19,2021-08-31,0,134266.0
20,2021-08-31,0,134266.0
21,2021-08-31,0,134266.0
22,2021-08-31,0,134266.0
23,2021-08-31,0,134266.0
